BL,BZ,CSDK,DD,DLYK,DTJ,DTMDQ,GL,GT,HQL,JFDQ,JM,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
1.75296875,1.6423979592857143,2.269375,1.808277778,2.1813265307142857,3.0831632653061227,2.008010203979592,1.8221875,2.723061224387755,1.9612755101020407,1.6836224489795917,3.11673333344,2.5468248889199994,3.39765625,1.6975,2.039387755102041,1.9096428572448978,1.8566326529591837,1.6336224489795919,1.71265625,2.69625,2.0161224490816325,1.3322448980612245,2.23704081622449
1.7558333333333334,1.6418911565714285,2.265,1.8277843139411765,2.1907482994285714,3.107040816326531,2.020210884244898,1.825,2.7515986393469385,1.9710272107755102,1.686530612244898,3.12246666678,2.5468248889199994,3.4041666666666663,1.7066666666666668,2.05234693877551,1.9269523810612244,1.858741496489796,1.632530612244898,1.7141666666666666,2.723333333333333,2.0181972790204084,1.3377278912653061,2.2408435373061226
1.7586979166666667,1.6413843538571429,2.260625,1.8472908498823528,2.200170068142857,3.130918367346939,2.032411564510204,1.8278125,2.7801360543061224,1.9807789114489796,1.689438775510204,3.12820000012,2.5468248889199994,3.4106770833333333,1.7158333333333333,2.0653061224489795,1.944261904877551,1.8608503400204082,1.631438775510204,1.7156770833333332,2.7504166666666667,2.0202721089591837,1.3432108844693877,2.244646258387755
1.7615625,1.640877551142857,2.25625,1.8667973858235292,2.2095918368571428,3.154795918367347,2.04461224477551,1.830625,2.808673469265306,1.9905306121224489,1.6923469387755101,3.13393333346,2.5468248889199994,3.4171875,1.725,2.078265306122449,1.9615714286938775,1.8629591835510204,1.63034693877551,1.7171874999999999,2.7775,2.022346938897959,1.3486938776734694,2.248448979469388
1.7644270833333333,1.6403707484285714,2.251875,1.8863039217647057,2.2190136055714285,3.178673469387755,2.0568129250408163,1.8334375,2.83721088422449,2.0002823127959184,1.6952551020408162,3.1396666667999997,2.5468248889199994,3.4236979166666663,1.7341666666666666,2.0912244897959185,1.978880952510204,1.8650680270816327,1.6292551020408164,1.7186979166666667,2.8045833333333334,2.0244217688367345,1.354176870877551,2.2522517005510205
1.7672916666666667,1.6398639457142856,2.2475,1.9058104577058823,2.228435374285714,3.2025510204081633,2.0690136053061225,1.83625,2.8657482991836734,2.0100340134693875,1.6981632653061225,3.14540000014,2.5468248889199994,3.4302083333333333,1.7433333333333334,2.1041836734693877,1.9961904763265306,1.867176870612245,1.6281632653061224,1.7202083333333333,2.8316666666666666,2.0264965987755104,1.3596598640816326,2.256054421632653
1.77015625,1.639357143,2.243125,1.9253169936470587,2.237857143,3.2264285714285714,2.0812142855714284,1.8390625,2.894285714142857,2.019785714142857,1.7010714285714286,3.15113333348,2.5468248889199994,3.43671875,1.7525,2.117142857142857,2.013500000142857,1.8692857141428572,1.6270714285714285,1.72171875,2.85875,2.0285714287142858,1.3651428572857143,2.259857142714286
1.7730208333333333,1.6388503402857142,2.23875,1.9448235295882352,2.2472789117142855,3.2503061224489795,2.0934149658367347,1.841875,2.922823129102041,2.0295374148163265,1.7039795918367346,3.15686666682,2.5468248889199994,3.4432291666666663,1.7616666666666667,2.1301020408163267,2.0308095239591837,1.8713945576734694,1.6259795918367346,1.7232291666666666,2.8858333333333333,2.030646258653061,1.370625850489796,2.2636598637959184
1.7758854166666667,1.6383435375714286,2.234375,1.9643300655294116,2.256700680428571,3.2741836734693877,2.1056156461020406,1.8446875,2.9513605440612243,2.0392891154897956,1.7068877551020407,3.16260000016,2.5468248889199994,3.4497395833333333,1.7708333333333333,2.143061224489796,2.04811904777551,1.8735034012040817,1.6248877551020409,1.7247395833333332,2.912916666666667,2.0327210885918365,1.3761088436938775,2.267462584877551
1.77875,1.6378367348571428,2.23,1.9838366014705882,2.2661224491428573,3.298061224489796,2.117816326367347,1.8475,2.979897959020408,2.049040816163265,1.7097959183673468,3.1683333334999997,2.5468248889199994,3.45625,1.78,2.1560204081632652,2.065428571591837,1.875612244734694,1.623795918367347,1.7262499999999998,2.94,2.0347959185306124,1.3815918368979592,2.271265305959184
