BL,BZ,CSDK,DD,DLYK,DTJ,DTMDQ,GL,GT,HQL,JFDQ,JM,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
0.03625,0.029180272,0.094,0.04751360555102041,0.04662108832653061,0.09389659853061225,0.06348979591836734,2.3794166666666667,0.06689115657142856,0.052582312816326526,0.04051700669387755,0.02557142857142857,0.08359716672,0.10716666666666666,0.06533333333333334,0.049918367346938775,0.06457006791836735,0.03479251689795918,0.030180271999999998,0.023916666666666666,0.11633333333333333,0.0576938775510204,0.03394557812244898,0.06226190465306122
0.036171875,0.029472789,0.09375,0.048139455897959184,0.04694115634693878,0.0938901359387755,0.0640204081632653,2.3499427083333333,0.06788435385714285,0.05311870736734694,0.040799319612244894,0.026857142857142857,0.08359716672,0.10698958333333333,0.06519791666666667,0.051163265306122446,0.06429319716326531,0.03524829920408163,0.030472789,0.023973958333333333,0.11710416666666666,0.05811224489795918,0.03419217675510204,0.06280952369387756
0.03609375,0.029765306,0.0935,0.04876530624489796,0.04726122436734694,0.09388367334693877,0.06455102040816327,2.32046875,0.06887755114285714,0.053655101918367344,0.04108163253061224,0.028142857142857143,0.08359716672,0.1068125,0.06506250000000001,0.05240816326530612,0.06401632640816327,0.035704081510204086,0.030765306,0.02403125,0.117875,0.05853061224489796,0.034438775387755104,0.06335714273469388
0.036015624999999996,0.030057823,0.09325,0.04939115659183673,0.0475812923877551,0.09387721075510204,0.06508163265306123,2.290994791666667,0.06987074842857142,0.05419149646938776,0.04136394544897959,0.02942857142857143,0.08359716672,0.10663541666666666,0.06492708333333333,0.0536530612244898,0.06373945565306123,0.036159863816326535,0.031057823,0.024088541666666668,0.11864583333333333,0.05894897959183673,0.034685374020408166,0.0639047617755102
0.0359375,0.03035034,0.093,0.050017006938775505,0.04790136040816327,0.09387074816326531,0.06561224489795918,2.2615208333333334,0.07086394571428571,0.05472789102040816,0.041646258367346936,0.030714285714285715,0.08359716672,0.10645833333333334,0.06479166666666666,0.05489795918367347,0.06346258489795918,0.03661564612244898,0.03135034,0.02414583333333333,0.11941666666666666,0.0593673469387755,0.03493197265306122,0.06445238081632654
0.035859375,0.030642857,0.09275,0.050642857285714285,0.04822142842857143,0.09386428557142856,0.06614285714285714,2.232046875,0.071857143,0.05526428557142857,0.04192857128571428,0.032,0.08359716672,0.10628125,0.06465625,0.05614285714285714,0.06318571414285715,0.03707142842857143,0.031642856999999996,0.024203125,0.1201875,0.05978571428571428,0.035178571285714284,0.06499999985714286
0.03578125,0.030935374,0.0925,0.05126870763265306,0.04854149644897959,0.09385782297959183,0.0666734693877551,2.2025729166666665,0.07285034028571429,0.05580068012244898,0.04221088420408163,0.03328571428571429,0.08359716672,0.10610416666666667,0.06452083333333333,0.05738775510204082,0.06290884338775511,0.03752721073469388,0.031935373999999996,0.024260416666666666,0.12095833333333333,0.060204081632653055,0.03542516991836735,0.06554761889795918
0.035703124999999995,0.031227891,0.09225,0.05189455797959183,0.04886156446938776,0.0938513603877551,0.06720408163265307,2.173098958333333,0.07384353757142857,0.056337074673469385,0.04249319712244898,0.03457142857142857,0.08359716672,0.10592708333333334,0.06438541666666667,0.05863265306122449,0.06263197263265306,0.03798299304081633,0.032227890999999995,0.024317708333333334,0.12172916666666667,0.060622448979591834,0.03567176855102041,0.06609523793877552
0.035625,0.031520408,0.092,0.05252040832653061,0.04918163248979592,0.09384489779591837,0.06773469387755102,2.143625,0.07483673485714284,0.0568734692244898,0.042775510040816325,0.03585714285714285,0.08359716672,0.10575,0.06425,0.05987755102040816,0.06235510187755102,0.03843877534693878,0.032520408,0.024375,0.1225,0.061040816326530606,0.03591836718367347,0.06664285697959184
0.035546875,0.031812925,0.09175,0.053146258673469386,0.04950170051020408,0.09383843520408162,0.06826530612244898,2.1141510416666667,0.07582993214285713,0.0574098637755102,0.04305782295918367,0.03714285714285714,0.08359716672,0.10557291666666667,0.06411458333333334,0.061122448979591834,0.06207823112244898,0.038894557653061226,0.032812925,0.024432291666666668,0.12327083333333333,0.061459183673469385,0.03616496581632653,0.06719047602040817
